,Total,Ruinoso,Malo,Deficiente,Bueno
Palacio,"1,083",18,91,226,748
Embajadores,"1,766",51,204,495,"1,016"
Cortes,691,39,50,141,461
Justicia,964,19,48,108,789
Universidad,"1,620",15,155,189,"1,261"
Sol,462,11,44,98,309
Imperial,438,5,14,29,390
Acacias,633,20,13,41,559
Chopera,391,25,52,50,264
Legazpi,247,12,28,57,150
Delicias,504,3,24,48,429
Moguer,584,12,28,116,428
Atocha,103,1,5,18,79
Pacífico,529,1,4,52,472
Adelfas,372,18,55,34,265
Estrella,353,2,3,5,343
Ibiza,389,0,3,31,355
Jerónimos,240,3,2,15,220
Jesús,367,1,7,9,350
Recoletos,541,3,4,9,525
Goya,762,5,1,26,730
Berro,"1,024",3,20,30,971
Guindalera,"1,567",22,46,79,"1,420"
Lista,490,8,15,20,447
Castellana,507,2,2,8,495
Viso,"1,409",10,14,25,"1,360"
Prosperidad,945,5,11,80,849
Jardín,"1,092",9,5,52,"1,026"
Hispanoamérica,"1,389",10,4,25,"1,350"
España,"1,175",4,3,43,"1,125"
Castilla,400,1,2,8,389
Vistas,"1,383",37,82,204,"1,060"
Caminos,926,29,44,141,712
Castillejos,560,5,9,61,485
Almenara,"1,251",37,179,199,836
Valdeacederas,"2,098",80,151,501,"1,366"
Berruguete,"1,427",59,116,384,868
Gaztambide,600,1,8,20,571
Arapiles,573,0,10,29,534
Trafalgar,805,11,13,33,748
Almagro,626,5,4,16,601
Rosas,591,1,10,31,549
Vallehermoso,545,4,8,20,513
Pardo,670,2,5,19,644
Fuentelarreina,232,3,2,3,224
Grande,"2,345",21,36,211,"2,077"
Pilar,636,12,10,27,587
Paz,656,2,3,14,637
Valverde,"2,938",20,238,237,"2,443"
Mirasierra,"2,428",127,7,92,"2,202"
Goloso,90,0,2,3,85
Campo,629,1,3,13,612
Argüelles,722,1,7,59,655
Universitaria,"1,263",21,13,86,"1,143"
Valdezarza,"1,375",11,27,108,"1,229"
Valdemarín,633,10,25,39,559
Plantío,"1,185",22,48,72,"1,043"
Aravaca,"4,289",15,64,94,"4,116"
Cármenes,"1,094",12,15,50,"1,017"
Angel,"2,575",21,159,218,"2,177"
Lucero,"1,222",8,49,185,980
Aluche,"1,613",17,14,98,"1,484"
Campamento,864,10,30,125,699
Vientos,224,2,4,38,180
Águilas,"1,524",17,20,180,"1,307"
Comillas,812,6,3,72,731
Opañel,"1,466",11,23,135,"1,297"
Isidro,"2,367",32,67,164,"2,104"
Alegre,"1,751",18,27,110,"1,596"
Bonita,"1,588",10,25,194,"1,359"
Buenavista,"1,258",17,10,75,"1,156"
Abrantes,831,2,5,62,762
Orcasitas,"1,428",5,2,3,"1,418"
Orcasur,437,12,14,15,396
Fermín,855,11,7,196,641
Almendrales,945,13,10,69,853
Moscardó,"1,268",7,11,144,"1,106"
Zofío,663,6,8,41,608
Pradolongo,"1,039",12,33,118,876
Entrevías,"3,796",29,93,498,"3,176"
Diego,"2,875",110,236,588,"1,941"
Bajas,"1,707",57,97,208,"1,345"
Sureste,666,2,4,33,627
Portazgo,"1,209",15,71,251,872
Numancia,"2,294",43,151,355,"1,745"
Pavones,239,2,0,0,237
Horcajo,216,5,6,10,195
Marroquina,487,4,4,6,473
Legua,420,39,1,8,372
Fontarrón,752,1,0,3,748
Vinateros,446,0,1,0,445
Ventas,"1,564",8,39,144,"1,373"
Nuevo,"2,040",14,30,97,"1,899"
Quintana,"1,255",21,29,80,"1,125"
Concepción,"1,061",3,6,34,"1,018"
Pascual,481,3,1,18,459
Bautista,404,0,1,8,395
Colina,407,12,5,49,341
Atalaya,158,0,2,15,141
Costillares,358,1,8,6,343
Palomas,653,4,1,9,639
Piovera,"1,920",8,11,24,"1,877"
Canillas,"2,333",23,127,132,"2,051"
Rey,"2,980",32,592,678,"1,678"
Santiago,996,9,14,35,938
Valdefuentes,"1,168",10,36,85,"1,037"
Andrés,"2,494",27,104,273,"2,090"
Cristóbal,481,29,89,112,251
Butarque,472,7,49,25,391
Rosales,"1,366",21,20,99,"1,226"
Angeles,724,9,4,38,673
Vallecas,"2,161",50,128,189,"1,794"
Eugenia,273,1,12,6,254
Vicálvaro,"2,006",20,28,129,"1,829"
Ambroz,826,1,0,18,807
Simancas,"1,175",2,4,46,"1,123"
Hellín,255,0,0,29,226
Amposta,402,0,0,8,394
Arcos,876,24,3,54,795
Rosas,891,8,8,16,859
Rejas,"1,556",8,0,39,"1,509"
Canillejas,"1,657",14,6,75,"1,562"
Salvador,"1,064",3,2,22,"1,037"
Osuna,704,2,10,7,685
Aeropuerto,135,1,1,9,124
Barajas,846,42,17,141,646
Timón,561,8,1,21,531
Corralejos,726,11,16,27,672
