Año;Ranking;DISTRITO;BARRIO;Vulnerabilidad
2019;58;01. Centro;   011. Palacio;0,0075
2019;44;01. Centro;   012. Embajadores;0,0083
2019;71;01. Centro;   013. Cortes;0,0072
2019;70;01. Centro;   014. Justicia;0,0072
2019;59;01. Centro;   015. Universidad;0,0075
2019;54;01. Centro;   016. Sol;0,0078
2019;89;02. Arganzuela;   021. Imperial;0,0065
2019;90;02. Arganzuela;   022. Las Acacias;0,0064
2019;65;02. Arganzuela;   023. La Chopera;0,0074
2019;108;02. Arganzuela;   024. Legazpi;0,0060
2019;85;02. Arganzuela;   025. Las Delicias;0,0067
2019;75;02. Arganzuela;   026. Palos de Moguer;0,0071
2019;88;02. Arganzuela;   027. Atocha;0,0065
2019;102;03. Retiro;   031. Pacífico;0,0061
2019;92;03. Retiro;   032. Adelfas;0,0063
2019;118;03. Retiro;   033. La Estrella;0,0057
2019;106;03. Retiro;   034. Ibiza;0,0061
2019;126;03. Retiro;   035. Los Jerónimos;0,0055
2019;125;03. Retiro;   036. Niño Jesús;0,0055
2019;124;04. Salamanca;   041. Recoletos;0,0055
2019;109;04. Salamanca;   042. Goya;0,0060
2019;95;04. Salamanca;   043. Fuente del Berro;0,0062
2019;104;04. Salamanca;   044. Guindalera;0,0061
2019;107;04. Salamanca;   045. Lista;0,0060
2019;119;04. Salamanca;   046. Castellana;0,0057
2019;129;05. Chamartín;   051. El Viso;0,0053
2019;98;05. Chamartín;   052. Prosperidad;0,0062
2019;97;05. Chamartín;   053. Ciudad Jardín;0,0062
2019;121;05. Chamartín;   054. Hispanoamérica;0,0056
2019;128;05. Chamartín;   055. Nueva España;0,0054
2019;115;05. Chamartín;   056. Castilla;0,0058
2019;48;06. Tetuán;   061. Bellas Vistas;0,0082
2019;68;06. Tetuán;   062. Cuatro Caminos;0,0073
2019;69;06. Tetuán;   063. Castillejos;0,0072
2019;36;06. Tetuán;   064. Almenara;0,0086
2019;41;06. Tetuán;   065. Valdeacederas;0,0084
2019;42;06. Tetuán;   066. Berruguete;0,0084
2019;96;07. Chamberí;   071. Gaztambide;0,0062
2019;94;07. Chamberí;   072. Arapiles;0,0063
