Orden,Cod. Territorio,CODBAR,Barrio,Renta neta media
104,28079BAR117,117,Abrantes,28.797
40,28079BAR022,022,Acacias,46.102
41,28079BAR032,032,Adelfas,45.918
121,28079BAR212,212,Aeropuerto,25.585
30,28079BAR211,211,Alameda de Osuna,54.037
12,28079BAR074,074,Almagro,69.696
91,28079BAR064,064,Almenara,30.883
116,28079BAR124,124,Almendrales,26.47
86,28079BAR104,104,Aluche,31.591
129,28079BAR203,203,Amposta,22.574
65,28079BAR165,165,Apóstol Santiago,37.643
48,28079BAR072,072,Arapiles,44.265
13,28079BAR097,097,Aravaca,69.38
97,28079BAR204,204,Arcos,29.659
28,28079BAR092,092,Argüelles,54.446
15,28079BAR158,158,Atalaya,68.336
63,28079BAR027,027,Atocha,38.971
82,28079BAR061,061,Bellas Vistas,32.298
95,28079BAR066,066,Berruguete,30.201
84,28079BAR116,116,Buenavista,32.278
93,28079BAR173,173,Butarque,30.538
81,28079BAR105,105,Campamento,32.304
59,28079BAR163,163,Canillas,41.118
83,28079BAR207,207,Canillejas,32.291
54,28079BAR091,091,Casa de Campo,42.796
94,28079BAR213,213,Casco Histórico de Barajas,30.335
123,28079BAR181,181,Casco Histórico de Vallecas,25.118
124,28079BAR191,191,Casco Histórico de Vicálvaro,24.976
9,28079BAR046,046,Castellana,72.399
24,28079BAR056,056,Castilla,58.137
37,28079BAR063,063,Castillejos,46.951
78,28079BAR023,023,Chopera,33.284
43,28079BAR053,053,Ciudad Jardín,45.521
20,28079BAR093,093,Ciudad Universitaria,60.565
27,28079BAR157,157,Colina,54.615
108,28079BAR111,111,Comillas,28.516
73,28079BAR154,154,Concepción,35.034
14,28079BAR215,215,Corralejos,68.525
64,28079BAR013,013,Cortes,37.725
18,28079BAR159,159,Costillares,65.144
46,28079BAR062,062,Cuatro Caminos,44.644
67,28079BAR106,106,Cuatro Vientos,36.806
56,28079BAR025,025,Delicias,41.535
87,28079BAR194,194,El Cañaveral,31.445
19,28079BAR088,088,El Goloso,61.919
68,28079BAR081,081,El Pardo,36.745
1,28079BAR096,096,El Plantío,89.215
6,28079BAR051,051,El Viso,80.447
112,28079BAR012,012,Embajadores,27.655
77,28079BAR183,183,Ensanche de Vallecas,33.626
128,28079BAR131,131,Entrevías,23.086
21,28079BAR033,033,Estrella,60.386
106,28079BAR145,145,Fontarrón,28.718
55,28079BAR043,043,Fuente del Berro,42.63
3,28079BAR082,082,Fuentelarreina,84.239
44,28079BAR071,071,Gaztambide,45.112
31,28079BAR042,042,Goya,51.783
36,28079BAR044,044,Guindalera,47.779
125,28079BAR202,202,Hellín,24.923
17,28079BAR054,054,Hispanoamérica,66.079
39,28079BAR142,142,Horcajo,46.289
35,28079BAR034,034,Ibiza,48.231
49,28079BAR021,021,Imperial,44.101
10,28079BAR035,035,Jerónimos,70.467
52,28079BAR014,014,Justicia,43.045
23,28079BAR085,085,La Paz,59.58
92,28079BAR107,107,Las Águilas,30.653
32,28079BAR024,024,Legazpi,51.613
33,28079BAR045,045,Lista,51.492
102,28079BAR175,175,Los Ángeles,29.05
96,28079BAR101,101,Los Cármenes,30.19
101,28079BAR174,174,Los Rosales,29.137
90,28079BAR103,103,Lucero,30.91
60,28079BAR143,143,Marroquina,41.108
69,28079BAR144,144,Media Legua,36.404
11,28079BAR087,087,Mirasierra,69.838
114,28079BAR125,125,Moscardó,26.986
16,28079BAR036,036,Niño Jesús,67.78
8,28079BAR055,055,Nueva España,74.482
122,28079BAR136,136,Numancia,25.457
105,28079BAR112,112,Opañel,28.721
110,28079BAR121,121,Orcasitas,28.256
119,28079BAR122,122,Orcasur,25.933
51,28079BAR031,031,Pacífico,43.434
70,28079BAR011,011,Palacio,36.357
5,28079BAR161,161,Palomas,81.073
99,28079BAR133,133,Palomeras Bajas,29.605
111,28079BAR134,134,Palomeras Sureste,27.81
72,28079BAR026,026,Palos de Moguer,35.874
74,28079BAR141,141,Pavones,34.991
38,28079BAR083,083,Peñagrande,46.883
75,28079BAR084,084,Pilar,34.532
76,28079BAR164,164,Pinar del Rey,34.494
4,28079BAR162,162,Piovera,81.938
126,28079BAR135,135,Portazgo,24.622
127,28079BAR127,127,Pradolongo,23.959
42,28079BAR052,052,Prosperidad,45.62
88,28079BAR152,152,Pueblo Nuevo,30.975
117,28079BAR115,115,Puerta Bonita,26.363
107,28079BAR102,102,Puerta del Ángel,28.661
89,28079BAR153,153,Quintana,30.972
7,28079BAR041,041,Recoletos,80.387
62,28079BAR206,206,Rejas,39.137
34,28079BAR075,075,Ríos Rosas,50.373
45,28079BAR205,205,Rosas,44.886
29,28079BAR208,208,Salvador,54.317
131,28079BAR172,172,San Cristóbal,20.365
130,28079BAR132,132,San Diego,21.859
118,28079BAR123,123,San Fermín,26.284
113,28079BAR113,113,San Isidro,27.032
25,28079BAR156,156,San Juan Bautista,57.584
53,28079BAR155,155,San Pascual,42.809
66,28079BAR182,182,Santa Eugenia,37.373
85,28079BAR201,201,Simancas,32.113
80,28079BAR016,016,Sol,32.599
57,28079BAR214,214,Timón,41.505
50,28079BAR073,073,Trafalgar,43.792
79,28079BAR015,015,Universidad,33.209
103,28079BAR065,065,Valdeacederas,28.996
61,28079BAR192,192,Valdebernardo,40.074
26,28079BAR166,166,Valdefuentes,55.523
2,28079BAR095,095,Valdemarín,88.243
58,28079BAR193,193,Valderribas,41.47
71,28079BAR094,094,Valdezarza,35.983
22,28079BAR076,076,Vallehermoso,60.074
47,28079BAR086,086,Valverde,44.503
100,28079BAR151,151,Ventas,29.319
120,28079BAR171,28079VIL,Villaverde Alto,
98,28079BAR146,146,Vinateros,29.627
109,28079BAR114,114,Vista Alegre,28.333
115,28079BAR126,126,Zofío,26.501
