Orden,Cod. Territorio,CODBAR,Territorio,Tasa paro
22,28079BAR117,117,Abrantes,11
75,28079BAR022,022,Acacias,8
90,28079BAR032,032,Adelfas,7
62,28079BAR212,212,Aeropuerto,9
101,28079BAR211,211,Alameda de Osuna,6
121,28079BAR074,074,Almagro,4
14,28079BAR064,064,Almenara,12
28,28079BAR124,124,Almendrales,11
47,28079BAR104,104,Aluche,9
3,28079BAR203,203,Amposta,15
54,28079BAR165,165,Apóstol Santiago,9
95,28079BAR072,072,Arapiles,6
120,28079BAR097,097,Aravaca,5
21,28079BAR204,204,Arcos,11
102,28079BAR092,092,Argüelles,6
105,28079BAR158,158,Atalaya,6
80,28079BAR027,027,Atocha,7
60,28079BAR061,061,Bellas Vistas,9
59,28079BAR066,066,Berruguete,9
57,28079BAR116,116,Buenavista,9
42,28079BAR173,173,Butarque,10
55,28079BAR105,105,Campamento,9
68,28079BAR163,163,Canillas,8
43,28079BAR207,207,Canillejas,10
72,28079BAR091,091,Casa de Campo,8
39,28079BAR213,213,Casco Histórico de Barajas,10
6,28079BAR181,181,Casco Histórico de Vallecas,14
12,28079BAR191,191,Casco Histórico de Vicálvaro,12
128,28079BAR046,046,Castellana,4
104,28079BAR056,056,Castilla,6
87,28079BAR063,063,Castillejos,7
51,28079BAR023,023,Chopera,9
79,28079BAR053,053,Ciudad Jardín,7
113,28079BAR093,093,Ciudad Universitaria,5
78,28079BAR157,157,Colina,7
23,28079BAR111,111,Comillas,11
61,28079BAR154,154,Concepción,9
118,28079BAR215,215,Corralejos,5
71,28079BAR013,013,Cortes,8
110,28079BAR159,159,Costillares,6
96,28079BAR062,062,Cuatro Caminos,6
56,28079BAR106,106,Cuatro Vientos,9
91,28079BAR025,025,Delicias,7
116,28079BAR194,194,El Cañaveral,5
130,28079BAR088,088,El Goloso,4
85,28079BAR081,081,El Pardo,7
126,28079BAR096,096,El Plantío,4
129,28079BAR051,051,El Viso,4
35,28079BAR012,012,Embajadores,10
69,28079BAR183,183,Ensanche de Vallecas,8
2,28079BAR131,131,Entrevías,15
111,28079BAR033,033,Estrella,6
24,28079BAR145,145,Fontarrón,11
81,28079BAR043,043,Fuente del Berro,7
123,28079BAR082,082,Fuentelarreina,4
97,28079BAR071,071,Gaztambide,6
106,28079BAR042,042,Goya,6
88,28079BAR044,044,Guindalera,7
9,28079BAR202,202,Hellín,13
114,28079BAR054,054,Hispanoamérica,5
45,28079BAR142,142,Horcajo,10
92,28079BAR034,034,Ibiza,7
73,28079BAR021,021,Imperial,8
119,28079BAR035,035,Jerónimos,5
77,28079BAR014,014,Justicia,7
103,28079BAR085,085,La Paz,6
49,28079BAR107,107,Las Águilas,9
108,28079BAR024,024,Legazpi,6
107,28079BAR045,045,Lista,6
18,28079BAR175,175,Los Ángeles,12
10,28079BAR101,101,Los Cármenes,13
26,28079BAR174,174,Los Rosales,11
34,28079BAR103,103,Lucero,10
66,28079BAR143,143,Marroquina,8
31,28079BAR144,144,Media Legua,11
124,28079BAR087,087,Mirasierra,4
33,28079BAR125,125,Moscardó,10
117,28079BAR036,036,Niño Jesús,5
125,28079BAR055,055,Nueva España,4
13,28079BAR136,136,Numancia,12
38,28079BAR112,112,Opañel,10
17,28079BAR121,121,Orcasitas,12
4,28079BAR122,122,Orcasur,14
84,28079BAR031,031,Pacífico,7
52,28079BAR011,011,Palacio,9
112,28079BAR161,161,Palomas,5
29,28079BAR133,133,Palomeras Bajas,11
20,28079BAR134,134,Palomeras Sureste,11
67,28079BAR026,026,Palos de Moguer,8
27,28079BAR141,141,Pavones,11
83,28079BAR083,083,Peñagrande,7
70,28079BAR084,084,Pilar,8
40,28079BAR164,164,Pinar del Rey,10
122,28079BAR162,162,Piovera,4
8,28079BAR135,135,Portazgo,13
30,28079BAR127,127,Pradolongo,11
74,28079BAR052,052,Prosperidad,8
50,28079BAR152,152,Pueblo Nuevo,9
16,28079BAR115,115,Puerta Bonita,12
25,28079BAR102,102,Puerta del Ángel,11
53,28079BAR153,153,Quintana,9
127,28079BAR041,041,Recoletos,4
82,28079BAR206,206,Rejas,7
100,28079BAR075,075,Ríos Rosas,6
98,28079BAR205,205,Rosas,6
89,28079BAR208,208,Salvador,7
1,28079BAR172,172,San Cristóbal,16
11,28079BAR132,132,San Diego,12
15,28079BAR123,123,San Fermín,12
7,28079BAR113,113,San Isidro,13
94,28079BAR156,156,San Juan Bautista,6
65,28079BAR155,155,San Pascual,8
37,28079BAR182,182,Santa Eugenia,10
41,28079BAR201,201,Simancas,10
58,28079BAR016,016,Sol,9
86,28079BAR214,214,Timón,7
93,28079BAR073,073,Trafalgar,7
63,28079BAR015,015,Universidad,8
46,28079BAR065,065,Valdeacederas,9
36,28079BAR192,192,Valdebernardo,10
109,28079BAR166,166,Valdefuentes,6
131,28079BAR095,095,Valdemarín,3
99,28079BAR193,193,Valderribas,6
64,28079BAR094,094,Valdezarza,8
115,28079BAR076,076,Vallehermoso,5
76,28079BAR086,086,Valverde,7
44,28079BAR151,151,Ventas,10
5,28079BAR171,171,Villaverde Alto,14
48,28079BAR146,146,Vinateros,9
32,28079BAR114,114,Vista Alegre,11
19,28079BAR126,126,Zofío,11
